STATE,AGE.REFP,SEX.REFP,AGE.SPOUSE,SEX.SPOUSE,NUM.CHILD,SALARY,EDU.FATHER,EDU.MOTHER,RACE.SPOUSE,RELIGION.SPOUSE,RACE.REFP,RELIGION.REFP
20,46,1,42,2,1,0,4,4,1,6,1,6
20,46,1,35,2,2,0,4,4,1,14,1,14
39,31,1,0,0,0,0,0,0,0,0,1,14
39,58,1,55,2,0,0,3,3,1,14,1,14
27,43,2,0,0,1,0,0,0,0,0,1,9
27,66,1,65,2,0,0,4,4,1,97,1,19
27,47,1,46,2,2,75000,4,6,1,9,1,9
27,45,1,38,2,2,68000,6,6,1,9,1,9
27,85,1,85,2,0,0,8,7,1,4,1,4
26,58,1,56,2,0,107000,4,4,1,3,1,3
17,29,2,0,0,0,0,0,0,0,0,1,4
47,48,1,0,0,0,0,0,0,0,0,1,6
1,21,2,0,0,0,0,0,0,0,0,1,1
47,39,1,39,2,1,0,99,1,1,99,1,1
47,34,1,30,2,5,0,4,3,1,10,1,6
47,56,1,43,2,0,0,1,2,1,1,2,1
47,50,1,59,2,0,0,99,99,1,14,1,6
42,81,1,80,2,0,0,4,4,2,6,2,6
42,58,2,0,0,0,0,0,0,0,0,2,14
42,40,2,0,0,1,0,0,0,0,0,2,6
42,30,1,36,2,1,0,6,7,3,6,2,27
29,85,2,0,0,0,0,0,0,0,0,2,12
6,47,2,0,0,0,0,0,0,0,0,1,14
6,27,1,31,2,3,0,6,6,1,15,1,15
6,25,2,0,0,2,0,0,0,0,0,3,99
6,82,1,80,2,0,0,3,4,1,6,3,14
51,52,1,49,2,0,155000,8,8,1,12,1,12
45,30,2,0,0,0,0,0,0,0,0,1,14
8,27,1,0,0,0,0,0,0,0,0,1,1
37,57,1,53,2,0,0,3,5,1,6,1,6
26,67,1,64,2,0,250000,7,7,1,1,1,1
17,62,1,0,0,0,0,0,0,0,0,1,1
6,72,2,0,0,0,0,0,0,0,0,1,4
6,45,1,46,2,4,132500,0,0,1,4,1,4
17,31,2,0,0,0,65000,0,0,0,0,1,3
6,24,1,0,0,0,9999999,0,0,0,0,1,1
6,39,1,38,2,3,9999999,7,7,1,4,1,1
6,42,1,40,2,2,197000,7,7,1,1,1,1
36,36,1,34,2,0,0,8,7,1,1,1,1
36,40,1,37,2,2,0,8,7,1,1,1,1
34,75,1,76,2,0,0,2,4,1,4,1,4
34,50,1,48,2,1,0,99,4,1,4,1,4
34,46,1,39,2,2,0,7,4,1,4,1,4
37,67,1,61,2,0,0,5,5,1,1,1,1
34,54,2,0,0,0,0,0,0,0,0,1,4
34,56,1,64,2,1,0,99,4,1,4,1,4
5,72,1,75,2,0,0,4,4,1,7,1,7
27,36,1,39,2,2,0,0,0,4,10,1,14
12,46,1,45,2,0,120000,7,4,1,4,1,15
13,69,1,68,2,0,0,8,8,1,4,1,4
1,42,1,41,2,0,80000,4,4,1,1,1,1
13,35,1,34,2,0,57500,6,4,7,15,1,4
55,33,1,31,2,1,0,7,7,1,4,1,4
13,42,1,39,2,2,140000,7,7,1,4,1,4
19,47,1,52,2,3,0,2,2,1,9,1,9
56,40,2,0,0,0,0,0,0,0,0,9,4
19,23,2,0,0,0,0,0,0,0,0,1,2
19,72,2,0,0,1,0,0,0,0,0,1,4
19,39,1,37,2,2,2500,4,6,1,4,1,9
19,45,1,43,2,0,0,4,6,1,4,1,1
19,35,1,0,0,0,0,0,0,0,0,1,1
19,32,1,30,2,0,83000,6,6,1,15,1,9
19,29,1,0,0,0,0,0,0,0,0,1,9
19,28,1,0,0,0,2500,0,0,0,0,1,4
19,66,1,64,2,0,0,1,2,1,9,1,9
19,62,1,66,2,0,0,2,2,1,4,1,4
19,51,1,38,2,1,36000,3,2,1,10,1,10
19,37,1,34,2,2,0,3,4,1,9,1,9
19,41,1,32,2,2,89000,4,5,1,4,1,10
8,39,1,36,2,2,103000,7,7,1,4,1,1
19,28,1,42,2,2,30000,3,4,1,9,1,9
19,27,1,22,2,2,0,5,5,1,9,1,1
19,65,1,61,2,0,0,4,4,1,4,1,4
18,61,1,57,2,0,9999999,8,0,4,4,1,4
29,40,2,0,0,0,57200,0,0,0,0,1,4
29,35,1,35,2,2,120000,6,4,1,4,1,4
19,32,1,0,0,0,55000,0,0,0,0,1,1
17,30,2,0,0,0,62000,0,0,0,0,1,4
18,28,1,29,2,2,105000,5,4,1,4,1,4
17,25,2,0,0,0,32900,0,0,0,0,1,4
31,73,1,71,2,0,0,4,6,1,4,1,4
42,72,1,70,2,0,0,2,5,1,4,1,4
36,67,1,0,0,0,0,0,0,0,0,1,4
36,33,1,0,0,2,0,0,0,0,0,1,4
36,31,2,0,0,2,0,0,0,0,0,1,4
36,30,2,0,0,1,0,0,0,0,0,1,10
36,30,1,28,2,3,50000,4,4,1,4,1,4
36,61,1,59,2,0,0,4,0,1,4,1,1
23,76,1,0,0,0,0,0,0,0,0,1,8
24,30,1,39,2,0,138000,7,6,1,1,1,1
36,33,1,32,2,1,0,6,6,1,4,1,15
12,72,2,0,0,0,0,0,0,0,0,1,6
12,41,1,0,0,0,0,0,0,0,0,1,1
47,80,2,0,0,0,0,0,0,0,0,1,13
42,59,2,0,0,0,0,0,0,0,0,1,9
42,42,1,0,0,0,0,0,0,0,0,1,99
42,62,1,61,2,1,0,99,2,1,9,1,4
42,30,1,30,2,1,0,0,0,9,1,1,4
37,40,1,35,2,1,0,5,5,1,14,1,4
36,37,1,0,0,0,0,0,0,0,0,1,4
37,70,1,70,2,0,0,99,4,1,4,1,4
12,37,1,26,2,1,1600,7,8,1,6,1,6
